fare_id,route_id,origin_id,destination_id
1010,18,152_01,262_01
1010,18,152_01,263_02
1010,18,152_01,264_02
1010,18,152_01,265_02
1010,18,152_01,266_02
1010,18,152_01,267_02
1010,18,262_02,152_02
1010,18,263_02,152_02
1010,18,264_02,152_02
1010,18,265_02,152_02
1010,18,266_02,152_02
1010,18,267_02,152_02
1020,18,141_01,262_01
1020,18,141_01,263_02
1020,18,141_01,264_02
1020,18,141_01,265_02
1020,18,141_01,266_02
1020,18,141_01,267_02
1020,18,151_01,262_01
1020,18,151_01,263_02
1020,18,151_01,264_02
1020,18,151_01,265_02
1020,18,151_01,266_02
1020,18,151_01,267_02
1020,18,262_02,141_02
1020,18,262_02,151_02
1020,18,263_02,141_02
1020,18,263_02,151_02
1020,18,264_02,141_02
1020,18,264_02,151_02
1020,18,265_02,141_02
1020,18,265_02,151_02
1020,18,266_02,141_02
1020,18,266_02,151_02
1020,18,267_02,141_02
1020,18,267_02,151_02
1070,18,142_01,262_01
1070,18,142_01,263_02
1070,18,142_01,264_02
1070,18,142_01,265_02
1070,18,142_01,266_02
1070,18,142_01,267_02
1070,18,143_01,262_01
1070,18,143_01,263_02
1070,18,143_01,264_02
1070,18,143_01,265_02
1070,18,143_01,266_02
1070,18,143_01,267_02
1070,18,228_01,262_01
1070,18,228_01,263_02
1070,18,228_01,264_02
1070,18,228_01,265_02
1070,18,228_01,266_02
1070,18,228_01,267_02
1070,18,229_01,262_01
1070,18,229_01,263_02
1070,18,229_01,264_02
1070,18,229_01,265_02
1070,18,229_01,266_02
1070,18,229_01,267_02
1070,18,262_02,142_02
1070,18,262_02,143_02
1070,18,262_02,228_02
1070,18,262_02,229_02
1070,18,263_02,142_02
1070,18,263_02,143_02
1070,18,263_02,228_02
1070,18,263_02,229_02
1070,18,264_02,142_02
1070,18,264_02,143_02
1070,18,264_02,228_02
1070,18,264_02,229_02
1070,18,265_02,142_02
1070,18,265_02,143_02
1070,18,265_02,228_02
1070,18,265_02,229_02
1070,18,266_02,142_02
1070,18,266_02,143_02
1070,18,266_02,228_02
1070,18,266_02,229_02
1070,18,267_02,142_02
1070,18,267_02,143_02
1070,18,267_02,228_02
1070,18,267_02,229_02
1170,18,100_05,262_01
1170,18,100_05,263_02
1170,18,100_05,264_02
1170,18,100_05,265_02
1170,18,100_05,266_02
1170,18,100_05,267_02
1170,18,129_01,262_01
1170,18,129_01,263_02
1170,18,129_01,264_02
1170,18,129_01,265_02
1170,18,129_01,266_02
1170,18,129_01,267_02
1170,18,225_01,262_01
1170,18,225_01,263_02
1170,18,225_01,264_02
1170,18,225_01,265_02
1170,18,225_01,266_02
1170,18,225_01,267_02
1170,18,226_02,262_01
1170,18,226_02,263_02
1170,18,226_02,264_02
1170,18,226_02,265_02
1170,18,226_02,266_02
1170,18,226_02,267_02
1170,18,227_01,262_01
1170,18,227_01,263_02
1170,18,227_01,264_02
1170,18,227_01,265_02
1170,18,227_01,266_02
1170,18,227_01,267_02
1170,18,262_02,100_07
1170,18,262_02,118_02
1170,18,262_02,225_02
1170,18,262_02,226_02
1170,18,262_02,227_02
1170,18,263_02,100_07
1170,18,263_02,118_02
1170,18,263_02,225_02
1170,18,263_02,226_02
1170,18,263_02,227_02
1170,18,264_02,100_07
1170,18,264_02,118_02
1170,18,264_02,225_02
1170,18,264_02,226_02
1170,18,264_02,227_02
1170,18,265_02,100_07
1170,18,265_02,118_02
1170,18,265_02,225_02
1170,18,265_02,226_02
1170,18,265_02,227_02
1170,18,266_02,100_07
1170,18,266_02,118_02
1170,18,266_02,225_02
1170,18,266_02,226_02
1170,18,266_02,227_02
1170,18,267_02,100_07
1170,18,267_02,118_02
1170,18,267_02,225_02
1170,18,267_02,226_02
1170,18,267_02,227_02
170,10,136_02,135_02
170,10,137_02,135_02
170,10,137_02,136_02
170,10,138_02,135_02
170,10,138_02,136_02
170,10,138_02,137_02
170,10,139_02,135_02
170,10,139_02,136_02
170,10,139_02,137_02
170,10,139_02,138_02
170,10,140_01,135_02
170,10,140_01,136_02
170,10,140_01,137_02
170,10,140_01,138_02
170,10,140_01,139_02
170,10,141_05,136_02
170,10,141_05,137_02
170,10,141_05,138_02
170,10,141_05,139_02
170,10,141_05,140_01
170,10,141_05,354_01
170,10,354_01,135_02
170,10,354_01,136_02
170,10,354_01,137_02
170,10,354_01,138_02
170,10,354_01,139_02
170,10,354_01,140_01
170,11,135_01,136_01
170,11,135_01,137_01
170,11,135_01,138_01
170,11,135_01,139_03
170,11,135_01,140_02
170,11,135_01,354_02
170,11,136_01,137_01
170,11,136_01,138_01
170,11,136_01,139_03
170,11,136_01,140_02
170,11,136_01,141_02
170,11,136_01,354_02
170,11,137_01,138_01
170,11,137_01,139_03
170,11,137_01,140_02
170,11,137_01,141_02
170,11,137_01,354_02
170,11,138_01,139_03
170,11,138_01,140_02
170,11,138_01,141_02
170,11,138_01,354_02
170,11,139_03,140_02
170,11,139_03,141_02
170,11,139_03,354_02
170,11,140_02,141_02
170,11,140_02,354_02
170,11,354_02,141_02
170,12,139_01,301_01
170,12,139_01,302_01
170,12,139_01,303_01
170,12,139_01,304_02
170,12,139_01,305_02
170,12,139_01,306_02
170,12,139_01,307_02
170,12,139_03,140_02
170,12,139_03,141_02
