route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
10,2000020202029,,信大横田循環線,,3,FF9900,FFFFFF
11,2000020202029,,横田信大循環線,,3,FF9900,FFFFFF
12,2000020202029,,浅間線,,3,FF0000,FFFFFF
13,2000020202029,,新浅間線,,3,002060,FFFFFF
14,2000020202029,,美ヶ原温泉線,,3,1EA300,FFFFFF
15,2000020202029,,北市内線,,3,31869B,FFFFFF
16,2000020202029,,岡田線,,3,B7DEE8,000000
17,2000020202029,,アルプス公園線,,3,66FFFF,000000
18,2000020202029,,鹿教湯温泉線,,3,92D050,FFFFFF
19,2000020202029,,空港今井線,,3,0076A8,FFFFFF
20,2000020202029,,大久保工場団地・神林線,,3,244062,FFFFFF
21,2000020202029,,山形線,,3,B7DEE8,000000
22,2000020202029,,寿台線,,3,FF00FF,FFFFFF
23,2000020202029,,松原線,,3,FF99FF,000000
24,2000020202029,,内田線,,3,FF99CC,000000
25,2000020202029,,並柳団地線,,3,8064A2,FFFFFF
26,2000020202029,,四賀線,,3,CCFF99,000000
