trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
1全日_07時20分_系統251001,07:20:00,07:20:00,100_04,1,秀峰学校経由並柳団地,0,1
1全日_07時20分_系統251001,07:22:00,07:22:00,129_01,2,秀峰学校経由並柳団地,0,0
1全日_07時20分_系統251001,07:23:00,07:23:00,123_01,3,秀峰学校経由並柳団地,0,0
1全日_07時20分_系統251001,07:24:00,07:24:00,122_01,4,秀峰学校経由並柳団地,0,0
1全日_07時20分_系統251001,07:25:00,07:25:00,121_01,5,並柳団地,0,0
1全日_07時20分_系統251001,07:26:00,07:26:00,334_01,6,並柳団地,0,0
1全日_07時20分_系統251001,07:27:00,07:27:00,124_01,7,並柳団地,0,0
1全日_07時20分_系統251001,07:28:00,07:28:00,125_01,8,並柳団地,0,0
1全日_07時20分_系統251001,07:29:00,07:29:00,335_01,9,並柳団地,0,0
1全日_07時20分_系統251001,07:30:00,07:30:00,336_01,10,並柳団地,0,0
1全日_07時20分_系統251001,07:31:00,07:31:00,337_01,11,並柳団地,0,0
1全日_07時20分_系統251001,07:32:00,07:32:00,338_01,12,並柳団地,0,0
1全日_07時20分_系統251001,07:33:00,07:33:00,339_01,13,並柳団地,0,0
1全日_07時20分_系統251001,07:34:00,07:34:00,340_01,14,並柳団地,0,0
1全日_07時20分_系統251001,07:38:00,07:38:00,341_01,15,並柳団地,1,0
1全日_07時40分_系統252001,07:40:00,07:40:00,341_01,1,秀峰学校経由松本バスターミナル,0,1
1全日_07時40分_系統252001,07:41:00,07:41:00,339_02,2,秀峰学校経由松本バスターミナル,0,0
1全日_07時40分_系統252001,07:42:00,07:42:00,338_02,3,秀峰学校経由松本バスターミナル,0,0
1全日_07時40分_系統252001,07:43:00,07:43:00,337_02,4,秀峰学校経由松本バスターミナル,0,0
1全日_07時40分_系統252001,07:44:00,07:44:00,336_02,5,秀峰学校経由松本バスターミナル,0,0
1全日_07時40分_系統252001,07:45:00,07:45:00,335_02,6,秀峰学校経由松本バスターミナル,0,0
1全日_07時40分_系統252001,07:46:00,07:46:00,125_02,7,秀峰学校経由松本バスターミナル,0,0
1全日_07時40分_系統252001,07:47:00,07:47:00,124_02,8,秀峰学校経由松本バスターミナル,0,0
1全日_07時40分_系統252001,07:48:00,07:48:00,334_02,9,秀峰学校経由松本バスターミナル,0,0
1全日_07時40分_系統252001,07:49:00,07:49:00,121_02,10,松本バスターミナル,0,0
1全日_07時40分_系統252001,07:50:00,07:50:00,122_02,11,松本バスターミナル,0,0
1全日_07時40分_系統252001,07:50:00,07:50:00,123_02,12,松本バスターミナル,0,0
1全日_07時40分_系統252001,07:52:00,07:52:00,118_02,13,松本バスターミナル,0,0
1全日_07時40分_系統252001,08:00:00,08:00:00,100_07,14,松本バスターミナル,1,0
1全日_09時20分_系統251002,09:20:00,09:20:00,100_04,1,相澤病院経由並柳団地,0,1
1全日_09時20分_系統251002,09:21:00,09:21:00,118_01,2,相澤病院経由並柳団地,0,0
1全日_09時20分_系統251002,09:23:00,09:23:00,369_01,3,相澤病院経由並柳団地,0,0
1全日_09時20分_系統251002,09:25:00,09:25:00,370_01,4,並柳団地,0,0
1全日_09時20分_系統251002,09:26:00,09:26:00,371_01,5,並柳団地,0,0
1全日_09時20分_系統251002,09:26:00,09:26:00,372_01,6,並柳団地,0,0
1全日_09時20分_系統251002,09:28:00,09:28:00,373_01,7,並柳団地,0,0
1全日_09時20分_系統251002,09:29:00,09:29:00,374_01,8,並柳団地,0,0
1全日_09時20分_系統251002,09:30:00,09:30:00,375_01,9,並柳団地,0,0
1全日_09時20分_系統251002,09:34:00,09:34:00,336_01,10,並柳団地,0,0
1全日_09時20分_系統251002,09:35:00,09:35:00,337_01,11,並柳団地,0,0
1全日_09時20分_系統251002,09:36:00,09:36:00,338_01,12,並柳団地,0,0
1全日_09時20分_系統251002,09:37:00,09:37:00,339_01,13,並柳団地,0,0
1全日_09時20分_系統251002,09:38:00,09:38:00,340_01,14,並柳団地,0,0
1全日_09時20分_系統251002,09:42:00,09:42:00,341_01,15,並柳団地,1,0
1全日_09時47分_系統252002,09:47:00,09:47:00,341_01,1,相澤病院経由松本バスターミナル,0,1
1全日_09時47分_系統252002,09:48:00,09:48:00,339_02,2,相澤病院経由松本バスターミナル,0,0
1全日_09時47分_系統252002,09:49:00,09:49:00,338_02,3,相澤病院経由松本バスターミナル,0,0
1全日_09時47分_系統252002,09:50:00,09:50:00,337_02,4,相澤病院経由松本バスターミナル,0,0
1全日_09時47分_系統252002,09:51:00,09:51:00,336_02,5,相澤病院経由松本バスターミナル,0,0
1全日_09時47分_系統252002,09:52:00,09:52:00,375_01,6,相澤病院経由松本バスターミナル,0,0
1全日_09時47分_系統252002,09:53:00,09:53:00,374_02,7,相澤病院経由松本バスターミナル,0,0
1全日_09時47分_系統252002,09:54:00,09:54:00,373_02,8,相澤病院経由松本バスターミナル,0,0
1全日_09時47分_系統252002,09:55:00,09:55:00,372_01,9,相澤病院経由松本バスターミナル,0,0
1全日_09時47分_系統252002,09:55:00,09:55:00,371_01,10,相澤病院経由松本バスターミナル,0,0
1全日_09時47分_系統252002,09:58:00,09:58:00,370_01,11,松本バスターミナル,0,0
1全日_09時47分_系統252002,09:59:00,09:59:00,376_01,12,松本バスターミナル,0,0
1全日_09時47分_系統252002,10:00:00,10:00:00,126_02,13,松本バスターミナル,0,0
1全日_09時47分_系統252002,10:03:00,10:03:00,118_02,14,松本バスターミナル,0,0
1全日_09時47分_系統252002,10:08:00,10:08:00,100_07,15,松本バスターミナル,1,0
1全日_11時20分_系統251002,11:20:00,11:20:00,100_04,1,相澤病院経由並柳団地,0,1
1全日_11時20分_系統251002,11:21:00,11:21:00,118_01,2,相澤病院経由並柳団地,0,0
1全日_11時20分_系統251002,11:23:00,11:23:00,369_01,3,相澤病院経由並柳団地,0,0
1全日_11時20分_系統251002,11:25:00,11:25:00,370_01,4,並柳団地,0,0
1全日_11時20分_系統251002,11:26:00,11:26:00,371_01,5,並柳団地,0,0
1全日_11時20分_系統251002,11:26:00,11:26:00,372_01,6,並柳団地,0,0
1全日_11時20分_系統251002,11:28:00,11:28:00,373_01,7,並柳団地,0,0
1全日_11時20分_系統251002,11:29:00,11:29:00,374_01,8,並柳団地,0,0
1全日_11時20分_系統251002,11:30:00,11:30:00,375_01,9,並柳団地,0,0
1全日_11時20分_系統251002,11:34:00,11:34:00,336_01,10,並柳団地,0,0
1全日_11時20分_系統251002,11:35:00,11:35:00,337_01,11,並柳団地,0,0
1全日_11時20分_系統251002,11:36:00,11:36:00,338_01,12,並柳団地,0,0
1全日_11時20分_系統251002,11:37:00,11:37:00,339_01,13,並柳団地,0,0
1全日_11時20分_系統251002,11:38:00,11:38:00,340_01,14,並柳団地,0,0
1全日_11時20分_系統251002,11:42:00,11:42:00,341_01,15,並柳団地,1,0
1全日_11時47分_系統252002,11:47:00,11:47:00,341_01,1,相澤病院経由松本バスターミナル,0,1
1全日_11時47分_系統252002,11:48:00,11:48:00,339_02,2,相澤病院経由松本バスターミナル,0,0
1全日_11時47分_系統252002,11:49:00,11:49:00,338_02,3,相澤病院経由松本バスターミナル,0,0
1全日_11時47分_系統252002,11:50:00,11:50:00,337_02,4,相澤病院経由松本バスターミナル,0,0
1全日_11時47分_系統252002,11:51:00,11:51:00,336_02,5,相澤病院経由松本バスターミナル,0,0
1全日_11時47分_系統252002,11:52:00,11:52:00,375_01,6,相澤病院経由松本バスターミナル,0,0
1全日_11時47分_系統252002,11:53:00,11:53:00,374_02,7,相澤病院経由松本バスターミナル,0,0
1全日_11時47分_系統252002,11:54:00,11:54:00,373_02,8,相澤病院経由松本バスターミナル,0,0
1全日_11時47分_系統252002,11:55:00,11:55:00,372_01,9,相澤病院経由松本バスターミナル,0,0
1全日_11時47分_系統252002,11:55:00,11:55:00,371_01,10,相澤病院経由松本バスターミナル,0,0
1全日_11時47分_系統252002,11:58:00,11:58:00,370_01,11,松本バスターミナル,0,0
1全日_11時47分_系統252002,11:59:00,11:59:00,376_01,12,松本バスターミナル,0,0
1全日_11時47分_系統252002,12:00:00,12:00:00,126_02,13,松本バスターミナル,0,0
1全日_11時47分_系統252002,12:03:00,12:03:00,118_02,14,松本バスターミナル,0,0
1全日_11時47分_系統252002,12:08:00,12:08:00,100_07,15,松本バスターミナル,1,0
1全日_14時20分_系統251002,14:20:00,14:20:00,100_04,1,相澤病院経由並柳団地,0,1
1全日_14時20分_系統251002,14:21:00,14:21:00,118_01,2,相澤病院経由並柳団地,0,0
1全日_14時20分_系統251002,14:23:00,14:23:00,369_01,3,相澤病院経由並柳団地,0,0
1全日_14時20分_系統251002,14:25:00,14:25:00,370_01,4,並柳団地,0,0
1全日_14時20分_系統251002,14:26:00,14:26:00,371_01,5,並柳団地,0,0
1全日_14時20分_系統251002,14:26:00,14:26:00,372_01,6,並柳団地,0,0
1全日_14時20分_系統251002,14:28:00,14:28:00,373_01,7,並柳団地,0,0
1全日_14時20分_系統251002,14:29:00,14:29:00,374_01,8,並柳団地,0,0
1全日_14時20分_系統251002,14:30:00,14:30:00,375_01,9,並柳団地,0,0
1全日_14時20分_系統251002,14:34:00,14:34:00,336_01,10,並柳団地,0,0
1全日_14時20分_系統251002,14:35:00,14:35:00,337_01,11,並柳団地,0,0
1全日_14時20分_系統251002,14:36:00,14:36:00,338_01,12,並柳団地,0,0
1全日_14時20分_系統251002,14:37:00,14:37:00,339_01,13,並柳団地,0,0
1全日_14時20分_系統251002,14:38:00,14:38:00,340_01,14,並柳団地,0,0
1全日_14時20分_系統251002,14:42:00,14:42:00,341_01,15,並柳団地,1,0
1全日_14時47分_系統252002,14:47:00,14:47:00,341_01,1,相澤病院経由松本バスターミナル,0,1
1全日_14時47分_系統252002,14:48:00,14:48:00,339_02,2,相澤病院経由松本バスターミナル,0,0
1全日_14時47分_系統252002,14:49:00,14:49:00,338_02,3,相澤病院経由松本バスターミナル,0,0
1全日_14時47分_系統252002,14:50:00,14:50:00,337_02,4,相澤病院経由松本バスターミナル,0,0
1全日_14時47分_系統252002,14:51:00,14:51:00,336_02,5,相澤病院経由松本バスターミナル,0,0
1全日_14時47分_系統252002,14:52:00,14:52:00,375_01,6,相澤病院経由松本バスターミナル,0,0
1全日_14時47分_系統252002,14:53:00,14:53:00,374_02,7,相澤病院経由松本バスターミナル,0,0
1全日_14時47分_系統252002,14:54:00,14:54:00,373_02,8,相澤病院経由松本バスターミナル,0,0
1全日_14時47分_系統252002,14:55:00,14:55:00,372_01,9,相澤病院経由松本バスターミナル,0,0
