table_name,field_name,language,translation,record_id,record_sub_id,field_value
agency,agency_name,ja-Hrkt,まつもとし,2000020202029,,
agency,agency_name,en,Matsumoto City,2000020202029,,
stops,stop_name,ja-Hrkt,まつもとばすたーみなる,100_03,,
stops,stop_name,ja-Hrkt,まつもとばすたーみなる,100_04,,
stops,stop_name,ja-Hrkt,まつもとばすたーみなる,100_05,,
stops,stop_name,ja-Hrkt,まつもとばすたーみなる,100_07,,
stops,stop_name,ja-Hrkt,まつもとばすたーみなる,100_08,,
stops,stop_name,ja-Hrkt,ほんまち,101_01,,
stops,stop_name,ja-Hrkt,ほんまち,101_02,,
stops,stop_name,ja-Hrkt,だいみょうちょう,102_01,,
stops,stop_name,ja-Hrkt,だいみょうちょう,102_02,,
stops,stop_name,ja-Hrkt,ありがさきこうこうまえ,103_01,,
stops,stop_name,ja-Hrkt,ありがさきこうこうまえ,103_02,,
stops,stop_name,ja-Hrkt,しょうりんじぐち,104_01,,
stops,stop_name,ja-Hrkt,みやぶちひがし,105_01,,
stops,stop_name,ja-Hrkt,まるのうちちゅうがっこうまえ,106_01,,
stops,stop_name,ja-Hrkt,ひらきまつ,107_01,,
stops,stop_name,ja-Hrkt,ほうこうじ,108_01,,
stops,stop_name,ja-Hrkt,しゅちくじょうぐち,109_01,,
stops,stop_name,ja-Hrkt,しゅちくじょうぐち,109_02,,
stops,stop_name,ja-Hrkt,じょうやまろうけんしせつまえ,110_01,,
stops,stop_name,ja-Hrkt,あるぷすこうえん,111_01,,
stops,stop_name,ja-Hrkt,ありがさきだい,112_01,,
stops,stop_name,ja-Hrkt,ありがさきごちょうめ,113_02,,
stops,stop_name,ja-Hrkt,きたありがさき,114_01,,
stops,stop_name,ja-Hrkt,きたありがさき,114_02,,
stops,stop_name,ja-Hrkt,ふかしがおか,115_01,,
stops,stop_name,ja-Hrkt,ふかしがおか,115_02,,
stops,stop_name,ja-Hrkt,じょうやまこうえんぐち,116_01,,
stops,stop_name,ja-Hrkt,じょうやまこうえんぐち,116_02,,
stops,stop_name,ja-Hrkt,たかじょうまち,117_02,,
stops,stop_name,ja-Hrkt,こくぶちょう,118_01,,
stops,stop_name,ja-Hrkt,こくぶちょう,118_02,,
stops,stop_name,ja-Hrkt,まつもとえきおしろぐち,119_01,,
stops,stop_name,ja-Hrkt,まつもとえきおしろぐち,119_02,,
stops,stop_name,ja-Hrkt,まつもとえきおしろぐち,119_03,,
stops,stop_name,ja-Hrkt,まつもとえきおしろぐち,119_04,,
stops,stop_name,ja-Hrkt,ばすたーみなるきた,120_01,,
stops,stop_name,ja-Hrkt,ばすたーみなるきた,120_02,,
stops,stop_name,ja-Hrkt,しゅうほうがっこうまえ,121_01,,
stops,stop_name,ja-Hrkt,しゅうほうがっこうまえ,121_02,,
stops,stop_name,ja-Hrkt,しゅうほうがっこうまえ,121_03,,
stops,stop_name,ja-Hrkt,しゅうほうがっこうまえ,121_04,,
stops,stop_name,ja-Hrkt,しゅうほうがっこうまえ,121_05,,
stops,stop_name,ja-Hrkt,しゅうほうがっこうまえ,121_06,,
stops,stop_name,ja-Hrkt,まつもとしびじゅつかん,122_01,,
stops,stop_name,ja-Hrkt,まつもとしびじゅつかん,122_02,,
stops,stop_name,ja-Hrkt,しみんげいじゅつかん,123_01,,
stops,stop_name,ja-Hrkt,しみんげいじゅつかん,123_02,,
stops,stop_name,ja-Hrkt,つかましょうがっこうぐち,124_01,,
stops,stop_name,ja-Hrkt,つかましょうがっこうぐち,124_02,,
stops,stop_name,ja-Hrkt,にしつかま,125_01,,
stops,stop_name,ja-Hrkt,にしつかま,125_02,,
stops,stop_name,ja-Hrkt,ほんまちごちょうめ,126_02,,
stops,stop_name,ja-Hrkt,あげつちまち,127_01,,
stops,stop_name,ja-Hrkt,おおておおどおり,128_01,,
stops,stop_name,ja-Hrkt,おおておおどおり,128_02,,
stops,stop_name,ja-Hrkt,いいだまち,129_01,,
stops,stop_name,ja-Hrkt,しみず,130_01,,
stops,stop_name,ja-Hrkt,しみず,130_02,,
stops,stop_name,ja-Hrkt,しみず,130_03,,
stops,stop_name,ja-Hrkt,さくらばし,131_01,,
stops,stop_name,ja-Hrkt,さくらばし,131_02,,
stops,stop_name,ja-Hrkt,さくらばし,131_03,,
stops,stop_name,ja-Hrkt,さくらばし,131_04,,
stops,stop_name,ja-Hrkt,もとまち,132_01,,
stops,stop_name,ja-Hrkt,もとまち,132_02,,
stops,stop_name,ja-Hrkt,もとまち,132_03,,
stops,stop_name,ja-Hrkt,よこた,133_01,,
stops,stop_name,ja-Hrkt,よこた,133_02,,
stops,stop_name,ja-Hrkt,よこた,133_03,,
