service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
全日（TS),1,1,1,1,1,1,1,20260801,20280331
平日（TS）,1,1,1,1,1,0,0,20260801,20280331
土休日（TS）,0,0,0,0,0,1,1,20260801,20280331
平日・土（南部）,1,1,1,1,1,1,0,20260801,20280331
平日（コミバス）,1,1,1,1,1,0,0,20260801,20280331
土（コミバス）,0,0,0,0,0,1,0,20260801,20280331
平日・土（コミバス）,1,1,1,1,1,1,0,20260801,20280331
平日（奈川）,1,1,1,1,1,0,0,20260801,20280331
土（奈川）,0,0,0,0,0,1,0,20260801,20280331
平日（四賀）,1,1,1,1,1,0,0,20260801,20280331
月・水・木（波田）,1,0,1,1,0,0,0,20260801,20280331
火・金（波田）,0,1,0,0,1,0,0,20260801,20280331
水（波田）,0,0,1,0,0,0,0,20260801,20280331
平日（ほしみ）,1,1,1,1,1,0,0,20260801,20280331
平日（入山辺）,1,1,1,1,1,0,0,20260801,20280331
月・水・木（入山辺）,1,0,1,1,0,0,0,20260801,20280331
火（入山辺）,0,1,0,0,0,0,0,20260801,20280331
金（入山辺）,0,0,0,0,1,0,0,20260801,20280331
平日（中山）,1,1,1,1,1,0,0,20260801,20280331
月（中山）,1,0,0,0,0,0,0,20260801,20280331
水（中山）,0,0,1,0,0,0,0,20260801,20280331
金（中山）,0,0,0,0,1,0,0,20260801,20280331
平日（みんな）,1,1,1,1,1,0,0,20260801,20280331
全日（コミバス）,1,1,1,1,1,1,1,20260801,20280331
