service_id,date,exception_type
火（入山辺）,20260811,2
火（入山辺）,20260922,2
火（入山辺）,20261103,2
火（入山辺）,20270223,2
火（入山辺）,20270504,2
火（入山辺）,20271123,2
火・金（波田）,20260811,2
火・金（波田）,20260922,2
火・金（波田）,20261103,2
火・金（波田）,20270101,2
火・金（波田）,20270223,2
火・金（波田）,20270504,2
火・金（波田）,20271123,2
金（中山）,20270101,2
金（入山辺）,20270101,2
月（中山）,20260921,2
月（中山）,20261012,2
月（中山）,20261123,2
月（中山）,20270111,2
月（中山）,20270322,2
月（中山）,20270503,2
月（中山）,20270719,2
月（中山）,20270920,2
月（中山）,20271011,2
月・水・木（入山辺）,20260921,2
月・水・木（入山辺）,20260923,2
月・水・木（入山辺）,20261012,2
月・水・木（入山辺）,20261123,2
月・水・木（入山辺）,20270111,2
月・水・木（入山辺）,20270211,2
月・水・木（入山辺）,20270322,2
月・水・木（入山辺）,20270429,2
月・水・木（入山辺）,20270503,2
月・水・木（入山辺）,20270505,2
月・水・木（入山辺）,20270719,2
月・水・木（入山辺）,20270811,2
月・水・木（入山辺）,20270920,2
月・水・木（入山辺）,20270923,2
月・水・木（入山辺）,20271011,2
月・水・木（入山辺）,20271103,2
月・水・木（波田）,20260921,2
月・水・木（波田）,20260923,2
月・水・木（波田）,20261012,2
月・水・木（波田）,20261123,2
月・水・木（波田）,20270111,2
月・水・木（波田）,20270211,2
月・水・木（波田）,20270322,2
月・水・木（波田）,20270429,2
月・水・木（波田）,20270503,2
月・水・木（波田）,20270505,2
月・水・木（波田）,20270719,2
月・水・木（波田）,20270811,2
月・水・木（波田）,20270920,2
月・水・木（波田）,20270923,2
月・水・木（波田）,20271011,2
月・水・木（波田）,20271103,2
水（中山）,20260923,2
水（中山）,20270505,2
水（中山）,20270811,2
水（中山）,20271103,2
水（波田）,20260923,2
水（波田）,20270505,2
水（波田）,20270811,2
水（波田）,20271103,2
土休日（TS）,20260811,1
土休日（TS）,20260812,1
土休日（TS）,20260813,1
土休日（TS）,20260814,1
土休日（TS）,20260921,1
土休日（TS）,20260922,1
