fare_id,price,currency_type,payment_method,transfers
220,220,JPY,0,0
170,170,JPY,0,0
230,230,JPY,0,0
250,250,JPY,0,0
300,300,JPY,0,0
320,320,JPY,0,0
340,340,JPY,0,0
240,240,JPY,0,0
180,180,JPY,0,0
270,270,JPY,0,0
310,310,JPY,0,0
210,210,JPY,0,0
260,260,JPY,0,0
280,280,JPY,0,0
470,470,JPY,0,0
520,520,JPY,0,0
370,370,JPY,0,0
430,430,JPY,0,0
200,200,JPY,0,0
440,440,JPY,0,0
510,510,JPY,0,0
150,150,JPY,0,0
330,330,JPY,0,0
400,400,JPY,0,0
450,450,JPY,0,0
360,360,JPY,0,0
490,490,JPY,0,0
410,410,JPY,0,0
100,100,JPY,0,0
